"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"PSC00914519","1983-05-01","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS","    5",",,0","    0",",,0","    0",",,0","  311",",,0","  244",",,0",,,,,"  294",",,0",,,,,,
"PSC00914519","1983-05-02","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS","    0",",,0","    0","P,,0","    0","P,,0","  317",",,0","  233",",,0",,,,,"  300",",,0",,,,,,
"PSC00914519","1983-05-03","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS","    0","T,,0","    0","P,,0","    0","P,,0","  322",",,0","  211",",,0",,,,,"  300",",,0",,,,,,
"PSC00914519","1983-05-04","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS","    0",",,0","    0","P,,0","    0","P,,0","  317",",,0","  244",",,0",,,,,"  300",",,0",,,,,,
"PSC00914519","1983-05-05","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS","   15",",,0","    0","P,,0","    0","P,,0","  328",",,0","  222",",,0",,,,,"  300",",,0",,,,,,
"PSC00914519","1983-05-06","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS","    0","T,,0","    0","P,,0","    0","P,,0","  333",",,0","  217",",,0",,,,,"  300",",,0",,,,,,
"PSC00914519","1983-05-07","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS","    0",",,0","    0","P,,0","    0","P,,0","  317",",,0","  244",",,0",,,,,"  300",",,0",,,,,,
"PSC00914519","1983-05-08","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS","    0",",,0","    0","P,,0","    0","P,,0","  333",",,0","  217",",,0",,,,,"  306",",,0",,,,,,
"PSC00914519","1983-05-09","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS","    0","T,,0","    0","P,,0","    0","P,,0","  328",",,0","  250",",,0",,,,,"  300",",,0",,,,,,
"PSC00914519","1983-05-10","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS","   15",",,0","    0","P,,0","    0","P,,0","  333",",,0","  233",",,0",,,,,"  300",",,0",,,,,,
"PSC00914519","1983-05-11","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS","    5",",,0","    0","P,,0","    0","P,,0","  328",",,0","  228",",,0",,,,,"  306",",,0",,,,,,
"PSC00914519","1983-05-12","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS","    0",",,0","    0","P,,0","    0","P,,0","  333",",,0","  250",",,0",,,,,"  283",",,0",,,,,,
"PSC00914519","1983-05-13","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS","  320",",,0","    0","P,,0","    0","P,,0","  339",",,0","  239",",,0",,,,,"  306",",,0",,,,,,
"PSC00914519","1983-05-14","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS","   41",",,0","    0","P,,0","    0","P,,0","  317",",,0","  222",",,0",,,,,"  300",",,0",,,,,,
"PSC00914519","1983-05-15","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS","    0","T,,0","    0","P,,0","    0","P,,0","  328",",,0","  206",",,0",,,,,"  300",",,0",,,,,,
"PSC00914519","1983-05-16","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS","    3",",,0","    0","P,,0","    0","P,,0","  328",",,0","  228",",,0",,,,,"  300",",,0",,,,,,
"PSC00914519","1983-05-17","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS","  437",",,0","    0","P,,0","    0","P,,0","  333",",,0","  228",",,0",,,,,"  239",",,0",,,,,,
"PSC00914519","1983-05-18","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS","    8",",,0","    0","P,,0","    0","P,,0","  322",",,0","  239",",,0",,,,,"  300",",,0",,,,,,
"PSC00914519","1983-05-19","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS","    0",",,0","    0","P,,0","    0","P,,0","  333",",,0","  211",",,0",,,,,"  272",",,0",,,,,,
"PSC00914519","1983-05-20","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS","    0",",,0","    0","P,,0","    0","P,,0","  328",",,0","  217",",,0",,,,,"  294",",,0",,,,,,
"PSC00914519","1983-05-21","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS","    3",",,0","    0","P,,0","    0","P,,0","  328",",,0","  233",",,0",,,,,"  294",",,0",,,,,,
"PSC00914519","1983-05-22","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS","    0",",,0","    0","P,,0","    0","P,,0","  328",",,0","  211",",,0",,,,,"  300",",,0",,,,,,
"PSC00914519","1983-05-23","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS","   53",",,0","    0","P,,0","    0","P,,0","  333",",,0","  228",",,0",,,,,"  272",",,0",,,,,,
"PSC00914519","1983-05-24","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS","    0",",,0","    0","P,,0","    0","P,,0","  328",",,0","  228",",,0",,,,,"  278",",,0",,,,,,
"PSC00914519","1983-05-25","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS","  102",",,0","    0","P,,0","    0","P,,0","  328",",,0","  228",",,0",,,,,"  272",",,0",,,,,,
"PSC00914519","1983-05-26","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS","    0",",,0","    0","P,,0","    0","P,,0","  317",",,0","  222",",,0",,,,,"  300",",,0",,,,,,
"PSC00914519","1983-05-27","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS","    0","T,,0","    0","P,,0","    0","P,,0","  333",",,0","  222",",,0",,,,,"  294",",,0",,,,,,
"PSC00914519","1983-05-28","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS","    8",",,0","    0","P,,0","    0","P,,0","  328",",,0","  233",",,0",,,,,"  289",",,0",,,,,,
"PSC00914519","1983-05-29","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS","    0",",,0","    0","P,,0","    0","P,,0","  328",",,0","  228",",,0",,,,,"  300",",,0",,,,,,
"PSC00914519","1983-05-30","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS","  229",",,0","    0","P,,0","    0","P,,0","  333",",,0","  239",",,0",,,,,"  306",",,0",,,,,,
"PSC00914519","1983-05-31","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS","   25",",,0","    0","P,,0","    0","P,,0","  328",",,0","  233",",,0",,,,,"  289",",,0",,,,,,
"PSC00914519","1983-06-01","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS","   33",",,0","    0","P,,0","    0",",,0","  317",",,0","  228",",,0",,,,,"  294",",,0",,,,,,
"PSC00914519","1983-06-02","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS","    0","T,,0","    0","P,,0","    0","P,,0","  328",",,0","  228",",,0",,,,,"  300",",,0",,,,,,
"PSC00914519","1983-06-03","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS","    0",",,0","    0","P,,0","    0","P,,0","  339",",,0","  217",",,0",,,,,"  294",",,0",,,,,,
"PSC00914519","1983-06-04","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS","    0","T,,0","    0","P,,0","    0","P,,0","  339",",,0","  206",",,0",,,,,"  294",",,0",,,,,,
"PSC00914519","1983-06-05","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS","   84",",,0","    0","P,,0","    0","P,,0","  328",",,0","  222",",,0",,,,,"  294",",,0",,,,,,
"PSC00914519","1983-06-06","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS","   30",",,0","    0","P,,0","    0","P,,0","  317",",,0","  222",",,0",,,,,"  272",",,0",,,,,,
"PSC00914519","1983-06-07","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS","  191",",,0","    0","P,,0","    0","P,,0","  317",",,0","  228",",,0",,,,,"  244",",,0",,,,,,
"PSC00914519","1983-06-08","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS","  135",",,0","    0","P,,0","    0","P,,0","  317",",,0","  217",",,0",,,,,"  289",",,0",,,,,,
"PSC00914519","1983-06-09","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS","    0","T,,0","    0","P,,0","    0","P,,0","  317",",,0","  206",",,0",,,,,"  300",",,0",,,,,,
"PSC00914519","1983-06-10","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS","   15",",,0","    0","P,,0","    0","P,,0","  328",",,0","  222",",,0",,,,,"  261",",,0",,,,,,
"PSC00914519","1983-06-11","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS","   48",",,0","    0","P,,0","    0","P,,0","  328",",,0","  233",",,0",,,,,"  244",",,0",,,,,,
"PSC00914519","1983-06-12","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS","   43",",,0","    0","P,,0","    0","P,,0","  322",",,0","  233",",,0",,,,,"  300",",,0",,,,,,
"PSC00914519","1983-06-13","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS","  160",",,0","    0","P,,0","    0","P,,0","  322",",,0","  239",",,0",,,,,"  261",",,0",,,,,,
"PSC00914519","1983-06-14","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS","   64",",,0","    0","P,,0","    0","P,,0","  294",",,0","  222",",,0",,,,,"  289",",,0",,,,,,
"PSC00914519","1983-06-15","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS","  284",",,0","    0","P,,0","    0","P,,0","  328",",,0","  228",",,0",,,,,"  256",",,0",,,,,,
"PSC00914519","1983-06-16","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS","   66",",,0","    0","P,,0","    0","P,,0","  294",",,0","  228",",,0",,,,,"  239",",,0",,,,,,
"PSC00914519","1983-06-17","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS","  597",",,0","    0","P,,0","    0","P,,0","  306",",,0","  228",",,0",,,,,"  244",",,0",,,,,,
"PSC00914519","1983-06-18","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS","  109",",,0","    0","P,,0","    0","P,,0","  289",",,0","  228",",,0",,,,,"  278",",,0",,,,,,
"PSC00914519","1983-06-19","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS","   20",",,0","    0","P,,0","    0","P,,0","  322",",,0","  222",",,0",,,,,"  267",",,0",,,,,,
"PSC00914519","1983-06-20","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS","  566",",,0","    0","P,,0","    0","P,,0","  322",",,0","  250",",,0",,,,,"  283",",,0",,,,,,
"PSC00914519","1983-06-21","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS","  102",",,0","    0","P,,0","    0","P,,0","  311",",,0","  228",",,0",,,,,"  283",",,0",,,,,,
"PSC00914519","1983-06-22","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS","   30",",,0","    0","P,,0","    0","P,,0","  306",",,0","  228",",,0",,,,,"  283",",,0",,,,,,
"PSC00914519","1983-06-23","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS","  104",",,0","    0","P,,0","    0","P,,0","  306",",,0","  228",",,0",,,,,"  278",",,0",,,,,,
"PSC00914519","1983-06-24","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS","   23",",,0","    0","P,,0","    0","P,,0","  328",",,0","  228",",,0",,,,,"  261",",,0",,,,,,
"PSC00914519","1983-06-25","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS","  508",",,0","    0","P,,0","    0","P,,0","  317",",,0","  222",",,0",,,,,"  300",",,0",,,,,,
"PSC00914519","1983-06-26","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS","   56",",,0","    0","P,,0","    0","P,,0","  328",",,0","  233",",,0",,,,,"  294",",,0",,,,,,
"PSC00914519","1983-06-27","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS","   69",",,0","    0","P,,0","    0","P,,0","  322",",,0","  217",",,0",,,,,"  294",",,0",,,,,,
"PSC00914519","1983-06-28","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS","    0",",,0","    0","P,,0","    0","P,,0","  317",",,0","  261",",,0",,,,,"  278",",,0",,,,,,
"PSC00914519","1983-06-29","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS","  137",",,0","    0","P,,0","    0","P,,0","  322",",,0","  222",",,0",,,,,"  283",",,0",,,,,,
"PSC00914519","1983-06-30","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS","  274",",,0","    0","P,,0","    0","P,,0","  294",",,0","  228",",,0",,,,,"  244",",,0",,,,,,
"PSC00914519","1983-07-01","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS",,,"    0","P,,0","    0",",,0",,,,,,,,,,,,,,,,
"PSC00914519","1983-07-02","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS",,,"    0","P,,0","    0","P,,0",,,,,,,,,,,,,,,,
"PSC00914519","1983-07-03","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS",,,"    0","P,,0","    0","P,,0",,,,,,,,,,,,,,,,
"PSC00914519","1983-07-04","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS",,,"    0","P,,0","    0","P,,0",,,,,,,,,,,,,,,,
"PSC00914519","1983-07-05","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS"," 1656",",,0","    0","P,,0","    0","P,,0","  300",",,0","  217",",,0",,,,,"  278",",,0",,,,,,
"PSC00914519","1983-07-06","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS","  114",",,0","    0","P,,0","    0","P,,0","  306",",,0","  228",",,0",,,,,"  244",",,0",,,,,,
"PSC00914519","1983-07-07","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS","  559",",,0","    0","P,,0","    0","P,,0","  283",",,0","  222",",,0",,,,,"  256",",,0",,,,,,
"PSC00914519","1983-07-08","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS","  467",",,0","    0","P,,0","    0","P,,0","  300",",,0","  211",",,0",,,,,"  250",",,0",,,,,,
"PSC00914519","1983-07-09","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS","   51",",,0","    0","P,,0","    0","P,,0","  283",",,0","  217",",,0",,,,,"  278",",,0",,,,,,
"PSC00914519","1983-07-10","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS","  104",",,0","    0","P,,0","    0","P,,0","  311",",,0","  211",",,0",,,,,"  278",",,0",,,,,,
"PSC00914519","1983-07-11","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS","  145",",,0","    0","P,,0","    0","P,,0","  322",",,0","  233",",,0",,,,,"  244",",,0",,,,,,
"PSC00914519","1983-07-12","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS","  145",",,0","    0","P,,0","    0","P,,0","  311",",,0","  222",",,0",,,,,"  278",",,0",,,,,,
"PSC00914519","1983-07-13","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS","   18",",,0","    0","P,,0","    0","P,,0","  311",",,0","  222",",,0",,,,,"  278",",,0",,,,,,
"PSC00914519","1983-07-14","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS","    8",",,0","    0","P,,0","    0","P,,0","  306",",,0","  228",",,0",,,,,"  289",",,0",,,,,,
"PSC00914519","1983-07-15","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS","    0",",,0","    0","P,,0","    0","P,,0","  322",",,0","  217",",,0",,,,,"  283",",,0",,,,,,
"PSC00914519","1983-07-16","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS","    0",",,0","    0","P,,0","    0","P,,0","  317",",,0","  261",",,0",,,,,"  278",",,0",,,,,,
"PSC00914519","1983-07-17","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS","    0",",,0","    0","P,,0","    0","P,,0","  311",",,0","  222",",,0",,,,,"  278",",,0",,,,,,
"PSC00914519","1983-07-18","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS","    0",",,0","    0","P,,0","    0","P,,0","  322",",,0","  222",",,0",,,,,"  283",",,0",,,,,,
"PSC00914519","1983-07-19","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS","  302",",,0","    0","P,,0","    0","P,,0","  333",",,0","  228",",,0",,,,,"  283",",,0",,,,,,
"PSC00914519","1983-07-20","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS","  411",",,0","    0","P,,0","    0","P,,0","  306",",,0","  233",",,0",,,,,"  244",",,0",,,,,,
"PSC00914519","1983-07-21","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS","  986",",,0","    0","P,,0","    0","P,,0","  283",",,0","  222",",,0",,,,,"  261",",,0",,,,,,
"PSC00914519","1983-07-22","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS","    0",",,0","    0","P,,0","    0","P,,0","  294",",,0","  217",",,0",,,,,"  283",",,0",,,,,,
"PSC00914519","1983-07-23","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS","   13",",,0","    0","P,,0","    0","P,,0","  317",",,0","  233",",,0",,,,,"  261",",,0",,,,,,
"PSC00914519","1983-07-24","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS","   51",",,0","    0","P,,0","    0","P,,0","  294",",,0","  217",",,0",,,,,"  283",",,0",,,,,,
"PSC00914519","1983-07-25","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS","  368",",,0","    0","P,,0","    0","P,,0","  328",",,0","  228",",,0",,,,,"  272",",,0",,,,,,
"PSC00914519","1983-07-26","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS","    8",",,0","    0","P,,0","    0","P,,0","  322",",,0","  228",",,0",,,,,"  289",",,0",,,,,,
"PSC00914519","1983-07-27","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS","   33",",,0","    0","P,,0","    0","P,,0","  311",",,0","  217",",,0",,,,,"  278",",,0",,,,,,
"PSC00914519","1983-07-28","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS","   25",",,0","    0","P,,0","    0","P,,0","  300",",,0","  233",",,0",,,,,"  272",",,0",,,,,,
"PSC00914519","1983-07-29","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS","  323",",,0","    0","P,,0","    0","P,,0","  289",",,0","  228",",,0",,,,,"  278",",,0",,,,,,
"PSC00914519","1983-07-30","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS","  798",",,0","    0","P,,0","    0","P,,0","  300",",,0","  222",",,0",,,,,"  261",",,0",,,,,,
"PSC00914519","1983-07-31","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS","    8",",,0","    0","P,,0","    0","P,,0","  311",",,0","  217",",,0",,,,,"  283",",,0",,,,,,
"PSC00914519","1983-08-01","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS","   71",",,0","    0","P,,0","    0",",,0","  317",",,0","  228",",,0",,,,,"  283",",,0",,,,,,
"PSC00914519","1983-08-02","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS","  356",",,0","    0","P,,0","    0","P,,0","  306",",,0","  233",",,0",,,,,"  261",",,0",,,,,,
"PSC00914519","1983-08-03","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS","  157",",,0","    0","P,,0","    0","P,,0","  317",",,0","  222",",,0",,,,,"  278",",,0",,,,,,
"PSC00914519","1983-08-04","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS","  229",",,0","    0","P,,0","    0","P,,0","  311",",,0","  233",",,0",,,,,"  244",",,0",,,,,,
"PSC00914519","1983-08-05","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS","  117",",,0","    0","P,,0","    0","P,,0","  300",",,0","  228",",,0",,,,,"  267",",,0",,,,,,
"PSC00914519","1983-08-06","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS","  432",",,0","    0","P,,0","    0","P,,0","  306",",,0","  233",",,0",,,,,"  289",",,0",,,,,,
"PSC00914519","1983-08-07","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS","   13",",,0","    0","P,,0","    0","P,,0","  322",",,0","  244",",,0",,,,,"  289",",,0",,,,,,
"PSC00914519","1983-08-08","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS","  655",",,0","    0","P,,0","    0","P,,0","  294",",,0","  233",",,0",,,,,"  278",",,0",,,,,,
"PSC00914519","1983-08-09","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS","  483",",,0","    0","P,,0","    0","P,,0","  306",",,0","  233",",,0",,,,,"  267",",,0",,,,,,
"PSC00914519","1983-08-10","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS","   64",",,0","    0","P,,0","    0","P,,0","  311",",,0","  233",",,0",,,,,"  283",",,0",,,,,,
"PSC00914519","1983-08-11","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS","  198",",,0","    0","P,,0","    0","P,,0","  311",",,0","  233",",,0",,,,,"  256",",,0",,,,,,
"PSC00914519","1983-08-12","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS","  145",",,0","    0","P,,0","    0","P,,0","  311",",,0","  228",",,0",,,,,"  283",",,0",,,,,,
"PSC00914519","1983-08-13","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS","  109",",,0","    0","P,,0","    0","P,,0","  317",",,0","  222",",,0",,,,,"  300",",,0",,,,,,
"PSC00914519","1983-08-14","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS","  135",",,0","    0","P,,0","    0","P,,0","  311",",,0","  228",",,0",,,,,"  278",",,0",,,,,,
"PSC00914519","1983-08-15","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS","   84",",,0","    0","P,,0","    0","P,,0","  311",",,0","  233",",,0",,,,,"  244",",I,0",,,,,,
"PSC00914519","1983-08-16","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS","  142",",,0","    0","P,,0","    0","P,,0","  317",",,0","  256",",I,0",,,,,"  272",",,0",,,,,,
"PSC00914519","1983-08-17","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS","  739",",,0","    0","P,,0","    0","P,,0","  317",",,0","  233",",,0",,,,,"  278",",,0",,,,,,
"PSC00914519","1983-08-18","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS","   46",",,0","    0","P,,0","    0","P,,0","  306",",,0","  233",",,0",,,,,"  256",",,0",,,,,,
"PSC00914519","1983-08-19","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS","    5",",,0","    0","P,,0","    0","P,,0","  300",",,0","  244",",,0",,,,,"  250",",,0",,,,,,
"PSC00914519","1983-08-20","7.45","134.5","31.1","NEKKEN FORESTRY, PW PS","   15",",,0","    0","P,,0","    0","P,,0","  306",",,0","  217",",,0",,,,,"  289",",,0",,,,,,
