"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"PSC00914913","2004-01-01","7.3014","28.1439","53.0","WEATHER SERVICE OFFICE PALAU, PW PS","  249",",,Z","  317",",,Z","  256",",,Z"
"PSC00914913","2004-01-02","7.3014","28.1439","53.0","WEATHER SERVICE OFFICE PALAU, PW PS","  173",",,Z","  317",",,Z","  244",",,Z"
"PSC00914913","2004-01-03","7.3014","28.1439","53.0","WEATHER SERVICE OFFICE PALAU, PW PS","    3",",,Z","  317",",,Z","  250",",,Z"
"PSC00914913","2004-01-04","7.3014","28.1439","53.0","WEATHER SERVICE OFFICE PALAU, PW PS","    5",",,Z","  322",",,Z","  244",",,Z"
"PSC00914913","2004-01-05","7.3014","28.1439","53.0","WEATHER SERVICE OFFICE PALAU, PW PS","   69",",,Z","  328",",,Z","  239",",,Z"
"PSC00914913","2004-01-06","7.3014","28.1439","53.0","WEATHER SERVICE OFFICE PALAU, PW PS","  295",",,Z","  311",",,Z","  239",",,Z"
"PSC00914913","2004-01-07","7.3014","28.1439","53.0","WEATHER SERVICE OFFICE PALAU, PW PS","   36",",,Z","  322",",,Z","  239",",,Z"
"PSC00914913","2004-01-08","7.3014","28.1439","53.0","WEATHER SERVICE OFFICE PALAU, PW PS","   20",",,Z","  322",",,Z","  244",",,Z"
"PSC00914913","2004-01-09","7.3014","28.1439","53.0","WEATHER SERVICE OFFICE PALAU, PW PS","  127",",,Z","  289",",,Z","  244",",,Z"
"PSC00914913","2004-01-10","7.3014","28.1439","53.0","WEATHER SERVICE OFFICE PALAU, PW PS","  269",",,Z","  300",",,Z","  239",",,Z"
"PSC00914913","2004-01-11","7.3014","28.1439","53.0","WEATHER SERVICE OFFICE PALAU, PW PS","   20",",,Z","  322",",,Z","  250",",,Z"
"PSC00914913","2004-01-12","7.3014","28.1439","53.0","WEATHER SERVICE OFFICE PALAU, PW PS","    0",",,Z","  317",",,Z","  250",",,Z"
"PSC00914913","2004-01-13","7.3014","28.1439","53.0","WEATHER SERVICE OFFICE PALAU, PW PS","    0",",,Z","  322",",,Z","  250",",,Z"
