"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT16","WT16_ATTRIBUTES"
"PSW00040305","1945-05-01","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","   15",",,X","    0",",,X","  317",",,X","  239",",,X",,,,,"    1",",,X"
"PSW00040305","1945-05-02","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","    0",",,X","    0",",,X","  328",",,X","  250",",,X",,,,,,
"PSW00040305","1945-05-03","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","    0",",,X","    0",",,X","  333",",,X","  272",",,X",,,,,,
"PSW00040305","1945-05-04","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","  173",",,X","    0",",,X","  311",",,X","  256",",,X",,,,,"    1",",,X"
"PSW00040305","1945-05-05","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","    0","T,,X","    0",",,X","  317",",,X","  261",",,X",,,,,"    1",",,X"
"PSW00040305","1945-05-06","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","  947",",,X","    0",",,X","  300",",,X","  222",",,X",,,"    1",",,X","    1",",,X"
"PSW00040305","1945-05-07","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","    0",",,X","    0",",,X","  311",",,X","  239",",,X",,,,,,
"PSW00040305","1945-05-08","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","    0",",,X","    0",",,X","  322",",,X","  244",",,X",,,,,,
"PSW00040305","1945-05-09","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","  368",",,X","    0",",,X","  311",",,X","  239",",,X",,,,,"    1",",,X"
"PSW00040305","1945-05-10","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","  137",",,X","    0",",,X","  311",",,X","  233",",,X",,,"    1",",,X","    1",",,X"
"PSW00040305","1945-05-11","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","  122",",,X","    0",",,X","  322",",,X","  244",",,X",,,,,"    1",",,X"
"PSW00040305","1945-05-12","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","    0","T,,X","    0",",,X","  311",",,X","  267",",,X",,,,,"    1",",,X"
"PSW00040305","1945-05-13","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","   51",",,X","    0",",,X","  322",",,X","  256",",,X",,,,,"    1",",,X"
"PSW00040305","1945-05-14","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","    0",",,X","    0",",,X","  328",",,X","  256",",,X",,,,,,
"PSW00040305","1945-05-15","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","   13",",,X","    0",",,X","  322",",,X","  250",",,X",,,,,"    1",",,X"
