"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT16","WT16_ATTRIBUTES"
"PSW00040307","1947-07-01","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","   46",",,X","    0",",,X",,,,,,,,,,,,
"PSW00040307","1947-07-02","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","   38",",,X","    0",",,X",,,,,,,,,,,,
"PSW00040307","1947-07-03","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","    0","T,,X","    0",",,X",,,,,,,,,,,,
"PSW00040307","1947-07-04","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","   20",",,X","    0",",,X",,,,,,,,,,,,
"PSW00040307","1947-07-05","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","   43",",,X","    0",",,X",,,,,,,,,,,,
"PSW00040307","1947-07-06","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","  155",",,X","    0",",,X",,,,,,,,,,,,
"PSW00040307","1947-07-07","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","   18",",,X","    0",",,X",,,,,,,,,,,,
"PSW00040307","1947-07-08","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","   89",",,X","    0",",,X",,,,,,,,,,,,
"PSW00040307","1947-07-09","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","  508",",,X","    0",",,X",,,,,,,,,,,,
"PSW00040307","1947-07-10","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","   13",",,X","    0",",,X",,,,,,,,,,,,
"PSW00040307","1947-07-11","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","    8",",,X","    0",",,X",,,"  328",",,X","  267",",,X",,,,,,
"PSW00040307","1947-07-12","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","  221",",,X","    0",",,X",,,"  272",",,X","  233",",,X",,,,,,
"PSW00040307","1947-07-13","7.33333","134.48333","30.2","KOROR ISLAND NF, PW PS","    5",",,X","    0",",,X",,,"  294",",,X","  233",",,X",,,,,,
