Year,DJF,JFM,FMA,MAM,AMJ,MJJ,JJA,JAS,ASO,SON,OND,NDJ
1950,"('-1.5', 'blue')","('-1.3', 'blue')","('-1.2', 'blue')","('-1.2', 'blue')","('-1.1', 'blue')","('-0.9', 'blue')","('-0.5', 'blue')","('-0.4', 'black')","('-0.4', 'black')","('-0.4', 'black')","('-0.6', 'black')","('-0.8', 'black')"
1951,"('-0.8', 'black')","('-0.5', 'black')","('-0.2', 'black')","('0.2', 'black')","('0.4', 'black')","('0.6', 'red')","('0.7', 'red')","('0.9', 'red')","('1.0', 'red')","('1.2', 'red')","('1.0', 'red')","('0.8', 'red')"
1952,"('0.5', 'red')","('0.4', 'black')","('0.3', 'black')","('0.3', 'black')","('0.2', 'black')","('0.0', 'black')","('-0.1', 'black')","('0.0', 'black')","('0.2', 'black')","('0.1', 'black')","('0.0', 'black')","('0.1', 'black')"
1953,"('0.4', 'black')","('0.6', 'red')","('0.6', 'red')","('0.7', 'red')","('0.8', 'red')","('0.8', 'red')","('0.7', 'red')","('0.7', 'red')","('0.8', 'red')","('0.8', 'red')","('0.8', 'red')","('0.8', 'red')"
1954,"('0.8', 'red')","('0.5', 'red')","('0.0', 'black')","('-0.4', 'black')","('-0.5', 'blue')","('-0.5', 'blue')","('-0.6', 'blue')","('-0.8', 'blue')","('-0.9', 'blue')","('-0.8', 'blue')","('-0.7', 'blue')","('-0.7', 'blue')"
1955,"('-0.7', 'blue')","('-0.6', 'blue')","('-0.7', 'blue')","('-0.8', 'blue')","('-0.8', 'blue')","('-0.7', 'blue')","('-0.7', 'blue')","('-0.7', 'blue')","('-1.1', 'blue')","('-1.4', 'blue')","('-1.7', 'blue')","('-1.5', 'blue')"
1956,"('-1.1', 'blue')","('-0.8', 'blue')","('-0.6', 'blue')","('-0.5', 'blue')","('-0.5', 'blue')","('-0.5', 'blue')","('-0.6', 'blue')","('-0.6', 'blue')","('-0.5', 'blue')","('-0.4', 'black')","('-0.4', 'black')","('-0.4', 'black')"
1957,"('-0.2', 'black')","('0.1', 'black')","('0.4', 'black')","('0.7', 'red')","('0.9', 'red')","('1.1', 'red')","('1.3', 'red')","('1.3', 'red')","('1.3', 'red')","('1.4', 'red')","('1.5', 'red')","('1.7', 'red')"
1958,"('1.8', 'red')","('1.7', 'red')","('1.3', 'red')","('0.9', 'red')","('0.7', 'red')","('0.6', 'red')","('0.6', 'red')","('0.4', 'black')","('0.4', 'black')","('0.4', 'black')","('0.5', 'red')","('0.6', 'red')"
1959,"('0.6', 'red')","('0.6', 'red')","('0.5', 'red')","('0.3', 'black')","('0.2', 'black')","('-0.1', 'black')","('-0.2', 'black')","('-0.3', 'black')","('-0.1', 'black')","('0.0', 'black')","('0.0', 'black')","('0.0', 'black')"
Year,"('DJF', 'black')","('JFM', 'black')","('FMA', 'black')","('MAM', 'black')","('AMJ', 'black')","('MJJ', 'black')","('JJA', 'black')","('JAS', 'black')","('ASO', 'black')","('SON', 'black')","('OND', 'black')","('NDJ', 'black')"
1960,"('-0.1', 'black')","('-0.1', 'black')","('-0.1', 'black')","('0.0', 'black')","('0.0', 'black')","('0.0', 'black')","('0.1', 'black')","('0.2', 'black')","('0.3', 'black')","('0.2', 'black')","('0.1', 'black')","('0.1', 'black')"
1961,"('0.0', 'black')","('0.0', 'black')","('0.0', 'black')","('0.1', 'black')","('0.2', 'black')","('0.3', 'black')","('0.1', 'black')","('-0.1', 'black')","('-0.3', 'black')","('-0.3', 'black')","('-0.2', 'black')","('-0.2', 'black')"
1962,"('-0.2', 'black')","('-0.2', 'black')","('-0.2', 'black')","('-0.3', 'black')","('-0.3', 'black')","('-0.2', 'black')","('0.0', 'black')","('-0.1', 'black')","('-0.1', 'black')","('-0.2', 'black')","('-0.3', 'black')","('-0.4', 'black')"
1963,"('-0.4', 'black')","('-0.2', 'black')","('0.2', 'black')","('0.3', 'black')","('0.3', 'black')","('0.5', 'red')","('0.9', 'red')","('1.1', 'red')","('1.2', 'red')","('1.3', 'red')","('1.4', 'red')","('1.3', 'red')"
1964,"('1.1', 'red')","('0.6', 'red')","('0.1', 'black')","('-0.3', 'black')","('-0.6', 'blue')","('-0.6', 'blue')","('-0.6', 'blue')","('-0.7', 'blue')","('-0.8', 'blue')","('-0.8', 'blue')","('-0.8', 'blue')","('-0.8', 'blue')"
1965,"('-0.6', 'blue')","('-0.3', 'black')","('-0.1', 'black')","('0.2', 'black')","('0.5', 'red')","('0.8', 'red')","('1.2', 'red')","('1.5', 'red')","('1.9', 'red')","('2.0', 'red')","('2.0', 'red')","('1.7', 'red')"
1966,"('1.4', 'red')","('1.2', 'red')","('1.0', 'red')","('0.7', 'red')","('0.4', 'black')","('0.2', 'black')","('0.2', 'black')","('0.1', 'black')","('-0.1', 'black')","('-0.1', 'black')","('-0.2', 'black')","('-0.3', 'black')"
1967,"('-0.4', 'black')","('-0.5', 'black')","('-0.5', 'black')","('-0.4', 'black')","('-0.2', 'black')","('0.0', 'black')","('0.0', 'black')","('-0.2', 'black')","('-0.3', 'black')","('-0.4', 'black')","('-0.3', 'black')","('-0.4', 'black')"
1968,"('-0.6', 'black')","('-0.7', 'black')","('-0.6', 'black')","('-0.4', 'black')","('0.0', 'black')","('0.3', 'black')","('0.6', 'black')","('0.5', 'black')","('0.4', 'black')","('0.5', 'red')","('0.7', 'red')","('1.0', 'red')"
1969,"('1.1', 'red')","('1.1', 'red')","('0.9', 'red')","('0.8', 'red')","('0.6', 'red')","('0.4', 'black')","('0.4', 'black')","('0.5', 'red')","('0.8', 'red')","('0.9', 'red')","('0.8', 'red')","('0.6', 'red')"
Year,"('DJF', 'black')","('JFM', 'black')","('FMA', 'black')","('MAM', 'black')","('AMJ', 'black')","('MJJ', 'black')","('JJA', 'black')","('JAS', 'black')","('ASO', 'black')","('SON', 'black')","('OND', 'black')","('NDJ', 'black')"
1970,"('0.5', 'red')","('0.3', 'black')","('0.3', 'black')","('0.2', 'black')","('0.0', 'black')","('-0.3', 'black')","('-0.6', 'blue')","('-0.8', 'blue')","('-0.8', 'blue')","('-0.7', 'blue')","('-0.9', 'blue')","('-1.1', 'blue')"
1971,"('-1.4', 'blue')","('-1.4', 'blue')","('-1.1', 'blue')","('-0.8', 'blue')","('-0.7', 'blue')","('-0.7', 'blue')","('-0.8', 'blue')","('-0.8', 'blue')","('-0.8', 'blue')","('-0.9', 'blue')","('-1.0', 'blue')","('-0.9', 'blue')"
1972,"('-0.7', 'blue')","('-0.4', 'black')","('0.1', 'black')","('0.4', 'black')","('0.7', 'red')","('0.9', 'red')","('1.1', 'red')","('1.4', 'red')","('1.6', 'red')","('1.8', 'red')","('2.1', 'red')","('2.1', 'red')"
1973,"('1.8', 'red')","('1.2', 'red')","('0.5', 'red')","('-0.1', 'black')","('-0.5', 'blue')","('-0.9', 'blue')","('-1.1', 'blue')","('-1.3', 'blue')","('-1.5', 'blue')","('-1.7', 'blue')","('-1.9', 'blue')","('-2.0', 'blue')"
1974,"('-1.8', 'blue')","('-1.6', 'blue')","('-1.2', 'blue')","('-1.0', 'blue')","('-0.9', 'blue')","('-0.8', 'blue')","('-0.5', 'blue')","('-0.4', 'black')","('-0.4', 'black')","('-0.6', 'blue')","('-0.8', 'blue')","('-0.6', 'blue')"
1975,"('-0.5', 'blue')","('-0.6', 'blue')","('-0.7', 'blue')","('-0.7', 'blue')","('-0.8', 'blue')","('-1.0', 'blue')","('-1.1', 'blue')","('-1.2', 'blue')","('-1.4', 'blue')","('-1.4', 'blue')","('-1.6', 'blue')","('-1.7', 'blue')"
1976,"('-1.6', 'blue')","('-1.2', 'blue')","('-0.7', 'blue')","('-0.5', 'blue')","('-0.3', 'black')","('0.0', 'black')","('0.2', 'black')","('0.4', 'black')","('0.6', 'red')","('0.8', 'red')","('0.9', 'red')","('0.8', 'red')"
1977,"('0.7', 'red')","('0.6', 'red')","('0.3', 'black')","('0.2', 'black')","('0.2', 'black')","('0.3', 'black')","('0.4', 'black')","('0.4', 'black')","('0.6', 'red')","('0.7', 'red')","('0.8', 'red')","('0.8', 'red')"
1978,"('0.7', 'red')","('0.4', 'black')","('0.1', 'black')","('-0.2', 'black')","('-0.3', 'black')","('-0.3', 'black')","('-0.4', 'black')","('-0.4', 'black')","('-0.4', 'black')","('-0.3', 'black')","('-0.1', 'black')","('0.0', 'black')"
1979,"('0.0', 'black')","('0.1', 'black')","('0.2', 'black')","('0.3', 'black')","('0.2', 'black')","('0.0', 'black')","('0.0', 'black')","('0.2', 'black')","('0.3', 'black')","('0.5', 'red')","('0.5', 'red')","('0.6', 'red')"
